,Company,Position,Connected On,Full Name
336,Grupo RBS,Analista de inteligência de mercado II,25 Apr 2024,Andrew Stevens
337,Grupo RBS,Coordenador pleno,25 Apr 2024,Bob Le
338,Sicredi,Consultora de comunicação e marketing,25 Apr 2024,Stephen Cortez
339,Itaú Unibanco,Senior Product Designer,25 Apr 2024,David Bailey
340,Grupo RBS,Analista de Produto Digital  II,25 Apr 2024,Maria Murray
341,ESPM Escola Superior de Propaganda e Marketing,Professor convidado,25 Apr 2024,Michael Perez
342,Tecsa® Group,UX Designer,25 Apr 2024,Sabrina Madden
343,Lyncas,Tech Recruiter Sênior,25 Apr 2024,Kathryn Logan
344,Cafézin Marketing & Conteúdo,Diretora Criativa | Produtora de Conteúdo | Social Media,25 Apr 2024,Carolyn Potts
345,Noorden Group,Tech Recruiter Pleno,25 Apr 2024,Theresa Johnson
346,Comunicação Social Publicidade e Propaganda- Unipampa sB,Direção de arte,25 Apr 2024,Jennifer Edwards
347,Sicredi Planalto das Águas PR/SP,"Gerente de Relacionamento (Comunicação, Marketing e Desenvolvimento do Cooperativismo)",25 Apr 2024,Kayla Strickland
348,Grupo RBS,Diretor de imagem,25 Apr 2024,Lisa Thomas
349,Veolia | Water Tech,Sourcing Specialist,25 Apr 2024,Sydney Ware
350,O Boticário - Santa Cruz do Sul,Analista de Recursos Humanos,25 Apr 2024,Amanda Gonzales
351,Mindbody,Senior Product Manager,25 Apr 2024,Jennifer Lewis
352,We Scale,Social Media B2B | Personal Branding para CEOs,25 Apr 2024,Seth Richards
353,Grupo RBS,Analista de planejamento sênior,25 Apr 2024,Judy Hinton
354,Vaccaro,Psicólogo,25 Apr 2024,Amy Anderson
355,Electus,Tech Recruiter,25 Apr 2024,Amy Woods
356,Monkey,Talent Acquisition,25 Apr 2024,Mrs. Amy Jacobs DDS
